samplig_campaign,sampling_site,latitude,longitude,sampling_date,observed_wst_k,observaciones,climatic_season,sensor,image_date,time_window,absolute_time_window,c2_l1_dn_b10,c2_l1_dn_b11,c2_l2_dn_b10,gain_b10,bias_b10,gain_b11,bias_b11,ll_b10,ll_b11_1x1,k1_b10,k2_b10,k1_b11,k2_b11,tsat_b10,tsat_b11,c1,c2,lef_um,g,d,e_b10,e_b11,e_mean,e_delta,w,w_10,ps_1,ps_2,ps_3,b0_sw_d,b1_sw_d,b2_sw_d,b3_sw_d,b4_sw_d,b5_sw_d,b6_sw_d,b7_sw_d,b0_sw_m,b1_sw_m,b2_sw_m,b3_sw_m,b4_sw_m,b5_sw_m,b0_sw_g,b1_sw_g,b2_sw_g,b3_sw_g,b4_sw_g,b5_sw_g,b6_sw_g,b7_sw_g,wst_k_jm_sc,wst_k_sw_d,wst_k_sw_m,wst_k_sw_g,wst_k_c2_l2
2,10,-32.17994,-64.43397,2017-03-10,297.84999999999997,0,Verano,TIRS-8,2017-03-10T00:00:00Z,0,0,25953,23917,43494,3.342e-4,0.1,3.342e-4,0.1,8.773492599999999,8.0930614,774.8853,1321.0789,480.8883,1201.1442,294.0802963006717,292.8679039915495,119007106.22103888,14394.4756944,10.896,7.378039835606091,229.34911840047647,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,298.165180834386,297.1090178049337,297.00276521138443,297.66336188
2,11,-32.17963,-64.4251,2017-03-10,297.84999999999997,0,Verano,TIRS-8,2017-03-10T00:00:00Z,0,0,25888,23886,43437,3.342e-4,0.1,3.342e-4,0.1,8.7517696,8.0827012,774.8853,1321.0789,480.8883,1201.1442,293.91990969143734,292.77797391381847,119007106.22103888,14394.4756944,10.896,7.388492371974507,229.25752676055896,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,297.8525504779144,296.76895899873506,296.71606076468294,297.46853474
3,1,-32.1981,-64.41049,2017-04-12,293.54999999999995,0,Otoño,TIRS-8,2017-04-11T00:00:00Z,-1,1,25196,23469,42585,3.342e-4,0.1,3.342e-4,0.1,8.5205032,7.9433397999999995,774.8853,1321.0789,480.8883,1201.1442,292.19810662273903,291.5621943481592,119007106.22103888,14394.4756944,10.896,7.502593781354532,228.27223230040764,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,295.1043647465958,293.7652866781036,294.1427976120416,294.5563817
3,2,-32.20107,-64.42967,2017-04-12,293.54999999999995,0,Otoño,TIRS-8,2017-04-11T00:00:00Z,-1,1,25145,23417,42539,3.342e-4,0.1,3.342e-4,0.1,8.503459,7.925961399999999,774.8853,1321.0789,480.8883,1201.1442,292.07015750189566,291.4097838189125,119007106.22103888,14394.4756944,10.896,7.511213008219643,228.19886564623326,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,295.0215431162281,293.70247143335325,294.0547945314834,294.39915278
3,3,-32.22031,-64.44123,2017-04-12,293.45,0,Otoño,TIRS-8,2017-04-11T00:00:00Z,-1,1,25110,23439,42508,3.342e-4,0.1,3.342e-4,0.1,8.491762,7.9333138,774.8853,1321.0789,480.8883,1201.1442,291.98226416190795,291.47428714714096,119007106.22103888,14394.4756944,10.896,7.517145310117204,228.14845526897648,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,294.6505414068743,293.22206387966105,293.7255141648523,294.29319416
3,4,-32.22609,-64.49357,2017-04-12,293.15,0,Otoño,TIRS-8,2017-04-11T00:00:00Z,-1,1,25083,23396,42483,3.342e-4,0.1,3.342e-4,0.1,8.4827386,7.918943199999999,774.8853,1321.0789,480.8883,1201.1442,291.9144132688959,291.34818237532295,119007106.22103888,14394.4756944,10.896,7.521731231641761,228.10953341142277,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,294.6887957602448,293.30577391888727,293.7493825717263,294.20774366
3,5,-32.24466,-64.49905,2017-04-12,293.04999999999995,0,Otoño,TIRS-8,2017-04-11T00:00:00Z,-1,1,24882,23295,42303,3.342e-4,0.1,3.342e-4,0.1,8.4155644,7.885189,774.8853,1321.0789,480.8883,1201.1442,291.40799407586275,291.0514968166923,119007106.22103888,14394.4756944,10.896,7.556135465085336,227.81884945431315,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,293.80242622441045,292.2649447717086,292.9218678101571,293.59250006
3,6,-32.25114,-64.50744,2017-04-12,292.95,0,Otoño,TIRS-8,2017-04-11T00:00:00Z,-1,1,24695,23118,42133,3.342e-4,0.1,3.342e-4,0.1,8.353069,7.826035599999999,774.8853,1321.0789,480.8883,1201.1442,290.934759063756,290.52990575820957,119007106.22103888,14394.4756944,10.896,7.588568609606245,227.546921856481,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,293.41039594474074,291.9237728811912,292.5238548114709,293.01143665999996
3,7,-32.20722,-64.50199,2017-04-12,292.95,0,Otoño,TIRS-8,2017-04-11T00:00:00Z,-1,1,25081,23417,42480,3.342e-4,0.1,3.342e-4,0.1,8.482070199999999,7.925961399999999,774.8853,1321.0789,480.8883,1201.1442,291.9093856301051,291.4097838189125,119007106.22103888,14394.4756944,10.896,7.5220712620197965,228.10664913625058,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,294.5619161458072,293.128634822246,293.63991711587585,294.1974896
3,8,-32.19013,-64.49261,2017-04-12,292.84999999999997,0,Otoño,TIRS-8,2017-04-11T00:00:00Z,-1,1,24966,23333,42376,3.342e-4,0.1,3.342e-4,0.1,8.4436372,7.897888599999999,774.8853,1321.0789,480.8883,1201.1442,291.6199131484607,291.1632012841929,119007106.22103888,14394.4756944,10.896,7.541700539225456,227.94052992419657,0.992,0.998,0.995,-0.006000000000000005,NA,NA,NA,NA,NA,-0.41165,1.00522,0.14543,-0.27297,4.06655,-6.92512,-18.27461,0.24468,67.297,0.985,-6.916,-63.855,9.548,-90.919,2.2925,0.9929,0.1545,-0.3122,3.7186,0.3502,-3.5889,0.1825,NA,294.19297853741557,292.73266565358654,293.2853424662083,293.84201552
